0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:08:50 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:09:28 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:09:28 +0530] "GET /shop_IT_v1/angular-1.6.3/angular.js HTTP/1.1" 200 1246179
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:09:28 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:09:28 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:09:28 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:09:28 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:09:28 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:15:12 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:15:12 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:15:12 +0530] "GET /shop_IT_v1/angular-1.6.3/angular.js HTTP/1.1" 200 1246179
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:15:12 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:15:12 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:15:12 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:15:12 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:15:12 +0530] "GET /shop_IT_v1/product.images[0].thumb HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:15:34 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:15:34 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:15:34 +0530] "GET /shop_IT_v1/angular-1.6.3/angular.js HTTP/1.1" 200 1246179
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:15:34 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:15:34 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:15:34 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:15:34 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:15:34 +0530] "GET /shop_IT_v1/images/Laptop.png HTTP/1.1" 200 2139
